lemma,abs_frequency,ipm
и,2448462,34006
c,1782501,24757
в,1611213,22378
не,1518045,21084
на,1221409,16964
он,1208549,16785
я,1146128,15918
что,946747,13149
быть,850812,11817
а,839857,11665
с,796113,11057
она,617030,8570
как,493429,6853
ты,485995,6750
это,446769,6205
они,438804,6095
у,419899,5832
но,418575,5814
мы,410033,5695
к,395076,5487
сказать,335146,4655
то,331654,4606
за,327945,4555
все,322712,4482
по,315318,4379
этот,297785,4136
так,281338,3907
из,270706,3760
же,264302,3671
весь,260301,3615
вы,255488,3548
свой,238062,3306
от,232155,3224
еще,222339,3088
только,201943,2805
мочь,196131,2724
такой,196025,2723
один,192882,2679
вот,188851,2623
бы,187375,2602
да,183125,2543
знать,178081,2473
который,176353,2449
о,163068,2265
уже,162893,2262
рука,162671,2259
когда,161918,2249
себя,161479,2243
говорить,154967,2152
тот,154965,2152
ну,152754,2122
становиться,149401,2075
человек,146279,2032
его,144546,2008
если,140429,1950
нет,136164,1891
спрашивать,134364,1866
даже,122647,1703
сам,121196,1683
до,121097,1682
кто,118264,1643
там,116313,1615
тут,115630,1606
глаз,114849,1595
потом,114122,1585
чтобы,113215,1572
понимать,111597,1550
голова,109672,1523
очень,109183,1516
самый,108013,1500
мой,107905,1499
ни,107548,1494
раз,106661,1481
надо,106336,1477
другой,105630,1467
хотеть,105248,1462
для,103423,1436
дело,103065,1431
время,101914,1415
идти,101251,1406
какой,99656,1384
теперь,97316,1352
наш,96380,1339
мама,95241,1323
или,94860,1318
сейчас,93388,1297
ничто,93381,1297
тоже,92834,1289
давать,91175,1266
под,90479,1257
где,90470,1257
пойти,89887,1248
день,89117,1238
два,86511,1202
видеть,86223,1198
со,85793,1192
хорошо,85200,1183
стоять,85118,1182
думать,84329,1171
отвечать,82842,1151
друг,80401,1117
ли,77709,1079
смотреть,75881,1054
много,75151,1044
вдруг,74369,1033
ее,73623,1023
дом,73126,1016
ребята,72439,1006
дверь,70999,986
первый,70514,979
ведь,70200,975
что-то,68796,956
без,68632,953
здесь,68361,949
нога,67868,943
год,67278,934
выходить,67210,933
место,67082,932
большой,66462,923
во,66424,923
можно,66194,919
тогда,66160,919
сидеть,65130,905
лицо,65011,903
просто,64598,897
слово,64515,896
через,62993,875
голос,62791,872
сторона,62454,867
какой-то,62161,863
начинать,61763,858
увидеть,61522,854
совсем,61200,850
взять,60543,841
сделать,60301,838
оставаться,60141,835
никто,59913,832
конечно,59816,831
отец,59191,822
сразу,58719,816
делать,58668,815
вода,58043,806
приходить,57467,798
потому,56725,788
про,56242,781
посмотреть,54093,751
почему,53115,738
каждый,52746,733
рассказывать,52637,731
над,51707,718
жизнь,51686,718
уходить,51537,716
подумать,51430,714
пока,51292,712
земля,50843,706
после,50223,698
находить,49999,694
папа,49581,689
снова,49249,684
жить,48503,674
будто,48490,673
оказываться,48374,672
уж,48137,669
хороший,48069,668
новый,47860,665
перед,47726,663
решать,46934,652
чем,46549,647
школа,46331,643
опять,45821,636
замечать,45528,632
маленький,45524,632
несколько,45298,629
девочка,45202,628
далеко,45147,627
подходить,44084,612
твой,43781,608
комната,43288,601
мальчик,42980,597
быстро,42839,595
скоро,42650,592
стол,42429,589
казаться,41408,575
черный,41073,570
должный,41059,570
свет,40901,568
минута,40849,567
окно,40777,566
всегда,40519,563
три,40435,562
их,40164,558
машина,40106,557
куда,40034,556
плечо,39787,553
проходить,39468,548
конец,39376,547
узнавать,39131,543
при,39073,543
ждать,39043,542
ваш,38870,540
ночь,38619,536
белый,38157,530
старый,38102,529
значит,37984,528
правда,37972,527
приходиться,37751,524
вернуться,37385,519
город,37375,519
дорога,37326,518
почти,36838,512
улица,36824,511
улыбаться,35993,500
садиться,35912,499
мать,35668,495
сегодня,35614,495
рядом,35586,494
лежать,35400,492
работа,35304,490
хотя,35173,489
зачем,34845,484
показывать,34744,483
сила,34674,482
помогать,34360,477
вместе,34257,476
бояться,34215,475
ходить,33702,468
последний,33653,467
любить,33448,465
словно,33437,464
бабушка,33408,464
может,33344,463
час,33263,462
подымать,33142,460
класс,33073,459
вид,33011,458
всякий,32897,457
открывать,32776,455
собираться,32629,453
ребенок,32617,453
вечер,32588,453
об,32091,446
никогда,32005,445
успевать,31993,444
утро,31949,444
кто-то,31747,441
лес,31708,440
подниматься,31655,440
стена,31605,439
слушать,31522,438
спать,31183,433
